Problem Name	02cards	04vegetables	06desserts	08mississippi	09fastfood	11sports	13chess
%(q2-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q2-gcf-h2)%	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?	What is the largest number that both %(q2_items)% and %(q2_total_items)% can be divided by?
%(q3-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q3-gcf-h2)%	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?	What is the largest number that both %(q3_items)% and %(q3_total_items)% can be divided by?
%(q4-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q4-gcf-h2)%	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?	What is the largest number that both %(q4_items)% and %(q4_total_items)% can be divided by?
%(q5-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q5-gcf-h2)%	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?	What is the largest number that both %(q5_items)% and %(q5_total_items)% can be divided by?
%(q6-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q6-gcf-h2)%	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?	What is the largest number that both %(q6_items)% and %(q6_total_items)% can be divided by?
%(q7-gcf-h1)%	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."	"You will be simplifing the probability you found! To do this, find and enter the greatest common factor for the numerator and the denominator."
%(q7-gcf-h2)%	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?	What is the largest number that both %(q7_items)% and %(q7_total_items)% can be divided by?
							
%(q1-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q1-redu-h2)%	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q1_items)%/%(q1_total_items)% using the greatest common factor you found?"
%(q1-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q1_gcf)%, the greatest common factor you found."
%(q2-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q2-redu-h2)%	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q2_items)%/%(q2_total_items)% using the greatest common factor you found?"
%(q2-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q2_gcf)%, the greatest common factor you found."
%(q3-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q3-redu-h2)%	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q3_items)%/%(q3_total_items)% using the greatest common factor you found?"
%(q3-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q3_gcf)%, the greatest common factor you found."
%(q4-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q4-redu-h2)%	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q4_items)%/%(q4_total_items)% using the greatest common factor you found?"
%(q4-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q4_gcf)%, the greatest common factor you found."
%(q5-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q5-redu-h2)%	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q5_items)%/%(q5_total_items)% using the greatest common factor you found?"
%(q5-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q5_gcf)%, the greatest common factor you found."
%(q6-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q6-redu-h2)%	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q6_items)%/%(q6_total_items)% using the greatest common factor you found?"
%(q6-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q6_gcf)%, the greatest common factor you found."
%(q7-redu-h1)%	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.	Simplify the probability. This is the fraction that you entered in column 3.
%(q7-redu-h2)%	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"	"How would you simplify the probability, %(q7_items)%/%(q7_total_items)% using the greatest common factor you found?"
%(q7-redu-h3)%	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."	"Simplify the probability by dividing the numerator and the denominator by %(q7_gcf)%, the greatest common factor you found."
