Problem Name	1	2	3	4	5	6	7	8	9	10	0intro
%(q3-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar3)%/%(tot3)% to 100."
%(q3-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar3)%/%(tot3)% that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?"
%(q3-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar3)%, and multiply it by 100 and then divide it by %(tot3)%, the original denominator: %(tar3)%*100/%(tot3)%. "
%(q4-ratio100-h1)%	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."	"To express the unreduced ratio as a ratio out of 100, first convert the denominator of %(tar4)%/%(tot4)% to 100."
%(q4-ratio100-h2)%	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"	"Do you know how to find an equivalent fraction of %(tar4)%/%(tot4)% that has denominator of 100? You already know the denominator. Then, what would be its numerator?"
%(q4-ratio100-h3)%	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "	"One way to find the numerator for the ratio out of 100 is to start with the original numerator, %(tar4)%, and multiply it by 100 and then divide it by %(tot4)%, the original denominator: %(tar4)%*100/%(tot4)%. "
											
%(q1-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent1)%/100. The percent representation is just the numerator of this ratio, %(percent1)%."
%(q1-percent-h2)%	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."	"If the ratio out 100 is %(percent1)%/100, the percent is its numerator, %(percent1)%."
%(q2-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent2)%/100. The percent representation is just the numerator of this ratio, %(percent2)%."
%(q2-percent-h2)%	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."	"If the ratio out 100 is %(percent2)%/100, the percent is its numerator, %(percent2)%."
%(q3-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent3)%/100. The percent representation is just the numerator of this ratio, %(percent3)%."
%(q3-percent-h2)%	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."	"If the ratio out 100 is %(percent3)%/100, the percent is its numerator, %(percent3)%."
%(q4-percent-h1)%	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."	"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, %(percent4)%/100. The percent representation is just the numerator of this ratio, %(percent4)%."
%(q4-percent-h2)%	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."	"If the ratio out 100 is %(percent4)%/100, the percent is its numerator, %(percent4)%."
											
%(q1-dec-h1)%	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent1)%/100. Please express this value as a decimal.
%(dec-h2)%	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."
%(dec-h3)%	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"
%(q2-dec-h1)%	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent2)%/100. Please express this value as a decimal.
%(q3-dec-h1)%	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent3)%/100. Please express this value as a decimal.
%(q4-dec-h1)%	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.	The ratio out of 100 is written as %(percent4)%/100. Please express this value as a decimal.
											
%(q1-red-h1)%	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn %(tar1)%/%(tot1)% into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q1-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q1-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both %(tar1)% and %(tot1)% without any remainder."
