Problem Name	faded1	faded2	faded3	Problem1	Problem2	Problem3	Problem4	Problem5
%(percent2_hint1)%	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"
%(percent2_hint2)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(percent2_hint3)%	Try entering '%(percent2)%' in the highlighted field.	Try entering '%(percent2)%' in the highlighted field.	Try entering '%(percent2)%' in the highlighted field.	Try entering '%(percent2)%' in the highlighted field.	Try entering '%(percent2)%' in the highlighted field.	Try entering '%(percent2)%' in the highlighted field.	Try entering '%(percent2)%' in the highlighted field.	Try entering '%(percent2)%' in the highlighted field.
%(percent3_hint1)%	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"
%(percent3_hint2)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(percent3_hint3)%	Try entering '%(percent3)%' in the highlighted field.	Try entering '%(percent3)%' in the highlighted field.	Try entering '%(percent3)%' in the highlighted field.	Try entering '%(percent3)%' in the highlighted field.	Try entering '%(percent3)%' in the highlighted field.	Try entering '%(percent3)%' in the highlighted field.	Try entering '%(percent3)%' in the highlighted field.	Try entering '%(percent3)%' in the highlighted field.
%(percent4_hint1)%	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"	"After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?"
%(percent4_hint2)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(percent4_hint3)%	Try entering '%(percent4)%' in the highlighted field.	Try entering '%(percent4)%' in the highlighted field.	Try entering '%(percent4)%' in the highlighted field.	Try entering '%(percent4)%' in the highlighted field.	Try entering '%(percent4)%' in the highlighted field.	Try entering '%(percent4)%' in the highlighted field.	Try entering '%(percent4)%' in the highlighted field.	Try entering '%(percent4)%' in the highlighted field.
%(decimal1_hint1)%	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio1)%'. Please express this value as a decimal.
%(decimal1_hint2)%	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio1)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."
%(decimal1_hint3)%	Try entering '%(decimal1)%' in the highlighted field.	Try entering '%(decimal1)%' in the highlighted field.	Try entering '%(decimal1)%' in the highlighted field.	Try entering '%(decimal1)%' in the highlighted field.	Try entering '%(decimal1)%' in the highlighted field.	Try entering '%(decimal1)%' in the highlighted field.	Try entering '%(decimal1)%' in the highlighted field.	Try entering '%(decimal1)%' in the highlighted field.
%(decimal2_hint1)%	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio2)%'. Please express this value as a decimal.
%(decimal2_hint2)%	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio2)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."
%(decimal2_hint3)%	Try entering '%(decimal2)%' in the highlighted field.	Try entering '%(decimal2)%' in the highlighted field.	Try entering '%(decimal2)%' in the highlighted field.	Try entering '%(decimal2)%' in the highlighted field.	Try entering '%(decimal2)%' in the highlighted field.	Try entering '%(decimal2)%' in the highlighted field.	Try entering '%(decimal2)%' in the highlighted field.	Try entering '%(decimal2)%' in the highlighted field.
%(decimal3_hint1)%	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio3)%'. Please express this value as a decimal.
%(decimal3_hint2)%	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio3)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."
%(decimal3_hint3)%	Try entering '%(decimal3)%' in the highlighted field.	Try entering '%(decimal3)%' in the highlighted field.	Try entering '%(decimal3)%' in the highlighted field.	Try entering '%(decimal3)%' in the highlighted field.	Try entering '%(decimal3)%' in the highlighted field.	Try entering '%(decimal3)%' in the highlighted field.	Try entering '%(decimal3)%' in the highlighted field.	Try entering '%(decimal3)%' in the highlighted field.
%(decimal4_hint1)%	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.	The ratio out of 100 is written as '%(100ratio4)%'. Please express this value as a decimal.
%(decimal4_hint2)%	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."	"To find the decimal, divide the numerator of %(100ratio4)% by the denominator. Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again."
%(decimal4_hint3)%	Try entering '%(decimal4)%' in the highlighted field.	Try entering '%(decimal4)%' in the highlighted field.	Try entering '%(decimal4)%' in the highlighted field.	Try entering '%(decimal4)%' in the highlighted field.	Try entering '%(decimal4)%' in the highlighted field.	Try entering '%(decimal4)%' in the highlighted field.	Try entering '%(decimal4)%' in the highlighted field.	Try entering '%(decimal4)%' in the highlighted field.
%(reduced1_hint1)%	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced1)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."
%(reduced1_hint2)%	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.	%(tar1)% is the numerator and %(tot)% is the denominator. Divide %(tar1)% and %(tot)% by their greatest common factor.
%(reduced1_hint3)%	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.	The greatest common factor of %(tar1)% and %(tot)% is %(gcf1)%.
%(reduced1_hint4)%	Try entering '%(reduced1)%' in the highlighted field.	Try entering '%(reduced1)%' in the highlighted field.	Try entering '%(reduced1)%' in the highlighted field.	Try entering '%(reduced1)%' in the highlighted field.	Try entering '%(reduced1)%' in the highlighted field.	Try entering '%(reduced1)%' in the highlighted field.	Try entering '%(reduced1)%' in the highlighted field.	Try entering '%(reduced1)%' in the highlighted field.
%(reduced2_hint1)%	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced2)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."
%(reduced2_hint2)%	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.	%(tar2)% is the numerator and %(tot)% is the denominator. Divide %(tar2)% and %(tot)% by their greatest common factor.
%(reduced2_hint3)%	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.	The greatest common factor of '%(tar2)%' and '%(tot)%' is '%(gcf2)%'.
%(reduced2_hint4)%	Try entering '%(reduced2)%' in the highlighted field.	Try entering '%(reduced2)%' in the highlighted field.	Try entering '%(reduced2)%' in the highlighted field.	Try entering '%(reduced2)%' in the highlighted field.	Try entering '%(reduced2)%' in the highlighted field.	Try entering '%(reduced2)%' in the highlighted field.	Try entering '%(reduced2)%' in the highlighted field.	Try entering '%(reduced2)%' in the highlighted field.
%(reduced3_hint1)%	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced3)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."
%(reduced3_hint2)%	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.	%(tar3)% is the numerator and %(tot)% is the denominator. Divide %(tar3)% and %(tot)% by their greatest common factor.
%(reduced3_hint3)%	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.	The greatest common factor of '%(tar3)%' and '%(tot)%' is '%(gcf3)%'.
%(reduced3_hint4)%	Try entering '%(reduced3)%' in the highlighted field.	Try entering '%(reduced3)%' in the highlighted field.	Try entering '%(reduced3)%' in the highlighted field.	Try entering '%(reduced3)%' in the highlighted field.	Try entering '%(reduced3)%' in the highlighted field.	Try entering '%(reduced3)%' in the highlighted field.	Try entering '%(reduced3)%' in the highlighted field.	Try entering '%(reduced3)%' in the highlighted field.
%(reduced4_hint1)%	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."	"To make the unreduced ratio, '%(unreduced4)%', a reduced fraction, first find the greatest common factor of the numerator and the denominator."
%(reduced4_hint2)%	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.	%(tar4)% is the numerator and %(tot)% is the denominator. Divide %(tar4)% and %(tot)% by their greatest common factor.
%(reduced4_hint3)%	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.	The greatest common factor of '%(tar4)%' and '%(tot)%' is '%(gcf4)%'.
%(reduced4_hint4)%	Try entering '%(reduced4)%' in the highlighted field.	Try entering '%(reduced4)%' in the highlighted field.	Try entering '%(reduced4)%' in the highlighted field.	Try entering '%(reduced4)%' in the highlighted field.	Try entering '%(reduced4)%' in the highlighted field.	Try entering '%(reduced4)%' in the highlighted field.	Try entering '%(reduced4)%' in the highlighted field.	Try entering '%(reduced4)%' in the highlighted field.
								
%(bug1)%								
%(bug2)%	40	6						
%(bug3)%			75	160				180
%(bug4)%	550	22				40		
								
%(error_message1)%								
%(error_message2)%	You have entered the number of fish sold that were Angelfish. This question is asking for how many total fish sold were NOT Angelfish. You can subtract the number of Angelfish from the total number of fish sold to find how many were not Angelfish.	You have entered the number of creatures that were bouncing ferns. This question is asking for how many total creatures were NOT bouncing ferns. You can subtract the number of bouncing ferns from the total number of creatures to find how many were not bouncing ferns.						
%(error_message3)%			You have entered the number of meals served that were pizza. This question is asking for how many total meals were NOT pizza. You can subtract the number of pizzas served from the total number of meals served to find how many were not pizza.	You have entered the number of students enrolled in Section 4. This question is asking for how many students were NOT enrolled in Section 4. You can subtract the number of students in Section 4 from the total number of students to find how many were not in Section 4.				You have entered the number of vehicles that were SUVs. This question is asking for how many total vehicles were NOT SUVs. You can subtract the number of SUVs from the total number of vehicles to find how many were not SUVs.
%(error_message4)%	You have entered the number of fish sold that were Oscar Fish. This question is asking for how many total fish sold were NOT Oscar Fish. You can subtract the number of Oscar Fish from the total number of fish sold to find how many were not Oscar Fish.	You have entered the number of creatures that were giants. This question is asking for how many total creatures were NOT giants. You can subtract the number of giants from the total number of creatures to find how many were not giants.				You have entered the number of balloons that were black. This question is asking for how many total balloons were NOT black. You can subtract the number of black balloons from the total number of balloons to find how many were not black.		
								
%(min1)%	0	0	0	0	0	0	0	0
%(max1)%	0	0	0	0	0	0	0	0
%(min2)%	0	0	0	0	0	0	0	0
%(max2)%	1	1	0	0	0	0	0	0
%(min3)%	0	0	0	0	0	0	0	0
%(max3)%	0	0	1	1	0	0	0	1
%(min4)%	0	0	0	0	0	0	0	0
%(max4)%	1	1	0	0	0	1	0	0
