Problem Name	00intro	01candy	03candy	05marble	07marble	10marble	12marble
%(q2_reduced_prob-h1)%	-	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."
%(q2_reduced_prob-h2)%	-	What is 4 divided by 4? What is 20 divided by 4?	What is 12 divided by 6? What is 30 divided by 6?	What is 14 divided by 2? What is 30 divided by 2?	What is 25 divided by 5? What is 90 divided by 5?	What is 3 divided by 3? What is 27 divided by 3?	What is 1 divided by 1? What is 10 divided by 1?
%(q2_reduced_prob-h3)%	-	Try entering %(q2_reduced_prob)%.	Try entering %(q2_reduced_prob)%.	Try entering %(q2_reduced_prob)%.	Try entering %(q2_reduced_prob)%.	Try entering %(q2_reduced_prob)%.	Try entering %(q2_reduced_prob)%.
%(q3_reduced_prob-h1)%	-	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."
%(q3_reduced_prob-h2)%	-	What is 10 divided by 10? What is 20 divided by 210?	What is 12 divided by 6? What is 30 divided by 6?	What is 23 divided by 1? What is 30 divided by 1?	What is 45 divided by 45? What is 90 divided by 45?	What is 9 divided by 9? What is 27 divided by 9?	What is 9 divided by 1? What is 10 divided by 1?
%(q3_reduced_prob-h3)%	-	Try entering %(q3_reduced_prob)%.	Try entering %(q3_reduced_prob)%.	Try entering %(q3_reduced_prob)%.	Try entering %(q3_reduced_prob)%.	Try entering %(q3_reduced_prob)%.	Try entering %(q3_reduced_prob)%.
%(q4_reduced_prob-h1)%	-	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."
%(q4_reduced_prob-h2)%	-	What is 12 divided by 4? What is 20 divided by 4?	What is 27 divided by 3? What is 30 divided by 3?	What is 26 divided by 2? What is 30 divided by 2?	What is 45 divided by 45? What is 90 divided by 45?	What is 17 divided by 1? What is 27 divided by 1?	What is 6 divided by 2? What is 10 divided by 2?
%(q4_reduced_prob-h3)%	-	Try entering %(q4_reduced_prob)%.	Try entering %(q4_reduced_prob)%.	Try entering %(q4_reduced_prob)%.	Try entering %(q4_reduced_prob)%.	Try entering %(q4_reduced_prob)%.	Try entering %(q4_reduced_prob)%.
%(q5_reduced_prob-h1)%	-	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."
%(q5_reduced_prob-h2)%	-	What is 18 divided by 2? What is 20 divided by 2?	What is 21 divided by 3? What is 30 divided by 3?	What is 12 divided by 6? What is 30 divided by 6?	What is 60 divided by 30? What is 90 divided by 30?	What is 24 divided by 3? What is 27 divided by 3?	What is 6 divided by 2? What is 10 divided by 2?
%(q5_reduced_prob-h3)%	-	Try entering %(q5_reduced_prob)%.	Try entering %(q5_reduced_prob)%.	Try entering %(q5_reduced_prob)%.	Try entering %(q5_reduced_prob)%.	Try entering %(q5_reduced_prob)%.	Try entering %(q5_reduced_prob)%.
%(q6_reduced_prob-h1)%	-	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	"To simplify the probability, you need to divide the numerator and the denominator by the greatest common factor."	-	-
%(q6_reduced_prob-h2)%	-	What is 10 divided by 10? What is 20 divided by 10?	What is 9 divided by 3? What is 30 divided by 3?	What is 18 divided by 6? What is 30 divided by 6?	What is 75 divided by 15? What is 90 divided by 15?	-	-
%(q6_reduced_prob-h3)%	-	Try entering %(q6_reduced_prob)%.	Try entering %(q6_reduced_prob)%.	Try entering %(q6_reduced_prob)%.	Try entering %(q6_reduced_prob)%.	-	-
							
%(visible1)%	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
%(mm)%	1	1	1	1	1	0	0
							
%(tar1_name)%	-	red pieces of candy	green pieces of candy	blue or green marbles	yellow marbles	red marbles	yellow marbles
%(tar2_name)%	-	yellow pieces of candy	yellow pieces of candy	yellow marbles	green marbles	blue marbles	blue marbles
%(tar3_name)%	-	green or purple pieces of candy	red or purple pieces of candy	marbles that are NOT red	blue or red marbles	red or blue marbles	marbles that are not blue
%(tar4_name)%	-	pieces of candy that are NOT purple	pieces of candy that are NOT red	marbles that are NOT blue	yellow or green marbles	marbles that are not green	yellow or blue marbles
%(tar5_name)%	-	pieces of candy that are NOT green	pieces of candy that are NOT green or red	red or green marbles	marbles that are NOT blue	marbles that are not blue	marbles that are not red
%(tar6_name)%	-	pieces of candy that are NOT yellow or red	pieces of candy that are NOT purple or yellow	blue or yellow marbles	marbles that are NOT red	-	-
%(total_name)%	-	pieces of candy	pieces of candy	marbles	marbles	marbles	marbles
