Problem Name	1	2	3	4	5	6	7	8
%(q1-dec-h1)%	The ratio out of 100 is written as 100/100. Please express this value as a decimal.	The ratio out of 100 is written as 5/100. Please express this value as a decimal.	The ratio out of 100 is written as 10/100. Please express this value as a decimal.	The ratio out of 100 is written as 40/100. Please express this value as a decimal.	The ratio out of 100 is written as 70/100. Please express this value as a decimal.	The ratio out of 100 is written as 95/100. Please express this value as a decimal.	The ratio out of 100 is written as 40/100. Please express this value as a decimal.	The ratio out of 100 is written as 20/100. Please express this value as a decimal.
%(dec-h2)%	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."	"To express the ratio as a decimal, simply divide the numerator by the denominator. Remember, dividing by 100 is like to dividing by 10, then dividing by 10 again."
%(dec-h3)%	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"	"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!"
%(q2-dec-h1)%	The ratio out of 100 is written as 20/100. Please express this value as a decimal.	The ratio out of 100 is written as 40/100. Please express this value as a decimal.	The ratio out of 100 is written as 50/100. Please express this value as a decimal.	The ratio out of 100 is written as 20/100. Please express this value as a decimal.	The ratio out of 100 is written as 90/100. Please express this value as a decimal.	The ratio out of 100 is written as 35/100. Please express this value as a decimal.	The ratio out of 100 is written as 20/100. Please express this value as a decimal.	The ratio out of 100 is written as 40/100. Please express this value as a decimal.
%(q3-dec-h1)%	The ratio out of 100 is written as 60/100. Please express this value as a decimal.	The ratio out of 100 is written as 25/100. Please express this value as a decimal.	The ratio out of 100 is written as 90/100. Please express this value as a decimal.	The ratio out of 100 is written as 80/100. Please express this value as a decimal.	The ratio out of 100 is written as 40/100. Please express this value as a decimal.	The ratio out of 100 is written as 22.5/100. Please express this value as a decimal.	The ratio out of 100 is written as 80/100. Please express this value as a decimal.	The ratio out of 100 is written as 80/100. Please express this value as a decimal.
%(q4-dec-h1)%	The ratio out of 100 is written as 5/100. Please express this value as a decimal.	The ratio out of 100 is written as 75/100. Please express this value as a decimal.	The ratio out of 100 is written as 70/100. Please express this value as a decimal.	The ratio out of 100 is written as 60/100. Please express this value as a decimal.	The ratio out of 100 is written as 10/100. Please express this value as a decimal.	The ratio out of 100 is written as 65/100. Please express this value as a decimal.	The ratio out of 100 is written as 60/100. Please express this value as a decimal.	The ratio out of 100 is written as 60/100. Please express this value as a decimal.
								
%(q1-red-h1)%	"To turn 100/100 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 1/20 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 5/50 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 10/25 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 7/10 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 38/40 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 2/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 3/15 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q1-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q1-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 100 and 100 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 1 and 20 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 5 and 50 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 10 and 25 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 7 and 10 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 38 and 40 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 2 and 5 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 3 and 15 without any remainder."
%(q1-red-h4)%	Need more help? Greatest common factor of 100 and 100 is 100.	Need more help? Greatest common factor of 1 and 20 is 1.	Need more help? Greatest common factor of 5 and 50 is 5.	Need more help? Greatest common factor of 10 and 25 is 5.	Need more help? Greatest common factor of 7 and 10 is 1.	Need more help? Greatest common factor of 38 and 40 is 2.	Need more help? Greatest common factor of 2 and 5 is 1.	Need more help? Greatest common factor of 3 and 15 is 3.
%(q1-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(100,100))%>."	"Try entering <%=fractionsimplify(fractionMake(1,20))%>."	"Try entering <%=fractionsimplify(fractionMake(5,50))%>."	"Try entering <%=fractionsimplify(fractionMake(10,25))%>."	"Try entering <%=fractionsimplify(fractionMake(7,10))%>."	"Try entering <%=fractionsimplify(fractionMake(38,40))%>."	"Try entering <%=fractionsimplify(fractionMake(2,5))%>."	"Try entering <%=fractionsimplify(fractionMake(3,15))%>."
%(q2-red-h1)%	"To turn 20/100 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 8/20 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 25/50 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 5/25 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 9/10 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 14/40 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 1/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 6/15 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q2-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q2-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 100 and 100 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 1 and 20 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 5 and 50 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 10 and 25 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 7 and 10 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 38 and 40 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 2 and 5 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 3 and 15 without any remainder."
%(q2-red-h4)%	Need more help? Greatest common factor of 20 and 100 is 20.	Need more help? Greatest common factor of 8 and 20 is 4.	Need more help? Greatest common factor of 25 and 50 is 25.	Need more help? Greatest common factor of 5 and 25 is 5.	Need more help? Greatest common factor of 9 and 10 is 1.	Need more help? Greatest common factor of 14 and 40 is 2.	Need more help? Greatest common factor of 1 and 5 is 1.	Need more help? Greatest common factor of 6 and 15 is 3.
%(q2-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(20,100))%>."	"Try entering <%=fractionsimplify(fractionMake(8,20))%>."	"Try entering <%=fractionsimplify(fractionMake(25,50))%>."	"Try entering <%=fractionsimplify(fractionMake(5,25))%>."	"Try entering <%=fractionsimplify(fractionMake(9,10))%>."	"Try entering <%=fractionsimplify(fractionMake(14,40))%>."	"Try entering <%=fractionsimplify(fractionMake(1,5))%>."	"Try entering <%=fractionsimplify(fractionMake(6,15))%>."
%(q3-red-h1)%	"To turn 60/100 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 5/20 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 45/50 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 20/25 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 4/10 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 9/40 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 4/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 12/15 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q3-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q3-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 100 and 100 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 1 and 20 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 5 and 50 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 10 and 25 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 7 and 10 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 38 and 40 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 2 and 5 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 3 and 15 without any remainder."
%(q3-red-h4)%	Need more help? Greatest common factor of 60 and 100 is 20.	Need more help? Greatest common factor of 5 and 20 is 5.	Need more help? Greatest common factor of 45 and 50 is 5.	Need more help? Greatest common factor of 20 and 25 is 5.	Need more help? Greatest common factor of 4 and 10 is 2.	Need more help? Greatest common factor of 9 and 40 is 1.	Need more help? Greatest common factor of 4 and 5 is 1.	Need more help? Greatest common factor of 12 and 15 is 3.
%(q3-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(60,100))%>."	"Try entering <%=fractionsimplify(fractionMake(5,20))%>."	"Try entering <%=fractionsimplify(fractionMake(45,50))%>."	"Try entering <%=fractionsimplify(fractionMake(20,25))%>."	"Try entering <%=fractionsimplify(fractionMake(4,10))%>."	"Try entering <%=fractionsimplify(fractionMake(9,40))%>."	"Try entering <%=fractionsimplify(fractionMake(4,5))%>."	"Try entering <%=fractionsimplify(fractionMake(12,15))%>."
%(q4-red-h1)%	"To turn 5/100 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 15/20 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 35/50 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 15/25 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 1/10 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 26/40 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 3/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."	"To turn 9/15 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore."
%(q4-red-h2)%	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."	"You can do this by finding common factors, and divide the numerator and the denominator until there are no more common factors other than 1."
%(q4-red-h3)%	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 100 and 100 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 1 and 20 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 5 and 50 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 10 and 25 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 7 and 10 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 38 and 40 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 2 and 5 without any remainder."	"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 3 and 15 without any remainder."
%(q4-red-h4)%	Need more help? Greatest common factor of 5 and 100 is 5.	Need more help? Greatest common factor of 15 and 20 is 5.	Need more help? Greatest common factor of 35 and 50 is 5.	Need more help? Greatest common factor of 15 and 25 is 5.	Need more help? Greatest common factor of 1 and 10 is 1.	Need more help? Greatest common factor of 26 and 40 is 2.	Need more help? Greatest common factor of 3 and 5 is 1.	Need more help? Greatest common factor of 9 and 15 is 3.
%(q4-red-h5)%	"Try entering <%=fractionsimplify(fractionMake(5,100))%>."	"Try entering <%=fractionsimplify(fractionMake(15,20))%>."	"Try entering <%=fractionsimplify(fractionMake(35,50))%>."	"Try entering <%=fractionsimplify(fractionMake(15,25))%>."	"Try entering <%=fractionsimplify(fractionMake(1,10))%>."	"Try entering <%=fractionsimplify(fractionMake(26,40))%>."	"Try entering <%=fractionsimplify(fractionMake(3,5))%>."	"Try entering <%=fractionsimplify(fractionMake(9,15))%>."
